trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-30.845857632328126,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-109.41098751826617,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-174.01477240142532,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-214.1432702660138,"{0: 14, 1: 3, 2: 9, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-173.1201348661152,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-117.59223504760442,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-105.78068918711455,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-313.8467598370365,"{0: 8, 1: 4, 2: 6, 3: 2, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-41.777440108508806,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,8,-101.56449078660788,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-26.55970959238032,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-112.13256841905721,"{0: 12, 1: 5, 2: 0, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-222.4415240201813,"{0: 11, 1: 5, 2: 3, 3: 3, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-153.04141671048382,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,5,-45.535028467574755,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-197.98604135806679,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-157.7719458939529,"{0: 19, 1: 1, 2: 5, 3: 4, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,1,-125.50507823323203,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-114.03015825132388,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,0,-150.36860987526495,"{0: 24, 1: 2, 2: 4, 3: 4, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-120.45498360733406,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-127.8566324032689,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-173.33743044021992,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",20,0,-57.635012722694015,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-179.39417382076022,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-78.56541976298956,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,3,-83.00146682897024,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,0,-104.45976097598592,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",35,0,-235.7580054771184,"{0: 18, 1: 3, 2: 10, 3: 1, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",20,0,-81.09990787928325,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
