trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-140.51981327372644,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-123.4149240256216,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-114.42051887680873,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-75.26653398292017,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7788007830714049}",30,0,-104.86146228492169,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,6,-32.995688916640184,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.7046880897187134}",30,0,-109.33778154758507,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,-78.87043604662865,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.6376281516217733}",30,0,-103.767338100795,"{0: 22, 1: 0, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,3,-81.94209515054948,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.5769498103804866}",25,6,-95.20040194181763,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.5488116360940264}",35,20,-12.119630240451352,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.522045776761016}",20,0,-23.148305390482157,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,4,-18.722768348373158,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.4723665527410147}",25,0,-69.37025537916266,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,15,9.639812894562318,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.42741493194872665}",20,0,-29.493253398666226,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,15,-1.3758869003632666,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.3867410234545012}",35,21,-0.8417266885888202,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,0,-36.04255565387071,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.3499377491111553}",25,2,-160.26773695060274,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 4}",1
22,False,"{'a': 0.5, 'e': 0.33287108369807955}",30,0,-39.340049108568,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.31663676937905316}",25,15,15.767551903852743,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.301194211912202}",20,5,14.927024059709732,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,14,-29.363996227614717,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.2725317930340126}",20,0,0.05969484506580147,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.2592402606458915}",20,13,-21.460213198328866,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,0,24.84717990343068,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.23457028809379762}",20,0,-12.972279452335549,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,0,-138.14657915001692,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.21224797382674304}",30,11,14.266013251971904,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.20189651799465538}",30,14,10.756541580123825,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.19204990862075408}",25,3,9.676924371612927,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.1826835240527346}",35,0,-64.4497164256774,"{0: 30, 1: 0, 2: 3, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.17377394345044514}",25,7,8.974201719355426,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.16529888822158653}",20,12,1.7195533232921978,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.1572371663136276}",20,2,18.04950112313769,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.14956861922263504}",30,0,-10.44372579631197,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
