trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-123.63440052995101,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9048374180359595}",30,0,-234.69361384107057,"{0: 14, 1: 3, 2: 9, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-82.66824363792875,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8187307530779818}",30,0,-236.05503328433966,"{0: 14, 1: 4, 2: 7, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,4,-16.55338734570472,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.7408182206817179}",35,13,-37.3611351858287,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.7046880897187134}",25,0,-43.06364696672425,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,8,-48.26321888671886,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,0,-4.942016513929638,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.6065306597126334}",30,0,-122.9714588128471,"{0: 20, 1: 4, 2: 2, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.5769498103804866}",25,0,-94.72850123571008,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.5488116360940264}",25,0,-45.494549797900824,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.522045776761016}",30,0,-117.32522512926221,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.49658530379140947}",30,0,-43.95576687481729,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.4723665527410147}",25,15,11.198189840070413,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.44932896411722156}",30,0,-94.73070763531496,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.42741493194872665}",20,15,8.898124124629158,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.4065696597405991}",25,4,-32.6301911000281,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.3867410234545012}",25,13,-48.65580676456645,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,4.003262358142673,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.3499377491111553}",30,15,-19.708371557281254,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,8,3.3625504578948746,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.31663676937905316}",20,12,-42.103118454027275,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.301194211912202}",30,13,-31.75569366341447,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,4,-14.939023284132714,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.2725317930340126}",20,10,17.894759791914275,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.2592402606458915}",25,15,14.93890219058349,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.24659696394160643}",25,8,-35.28168424481617,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.23457028809379762}",20,9,22.43218077316956,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,14,12.464095992991844,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.21224797382674304}",20,15,5.449022129967192,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.20189651799465538}",30,16,16.537788919267896,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.19204990862075408}",25,10,24.63909301543038,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.1826835240527346}",25,17,-28.681460058483733,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.17377394345044514}",20,7,11.852732086852187,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.16529888822158653}",25,14,21.667726144140477,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.1572371663136276}",25,16,15.844816228069043,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.14956861922263504}",20,3,28.252231442033036,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.14227407158651353}",20,0,16.111060450386496,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,1,0.1940214224402459,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.12873490358780418}",20,10,11.37975939230452,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.1224564282529819}",25,10,15.914841005411407,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.11648415777349697}",30,20,18.77922819880572,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.11080315836233387}",20,0,22.390849338708797,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.10539922456186433}",25,17,14.075232858038435,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.1002588437228037}",20,12,-4.792784278989681,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.09536916221554961}",20,6,19.789473381180354,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.09071795328941247}",25,12,-1.0259876499913392,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.0862935864993705}",25,12,-23.978737479641516,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.0820849986238988}",25,19,9.473719629909905,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.07808166600115313}",25,14,19.67979032960284,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.07427357821433388}",20,6,-15.603115155072514,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.07065121306042957}",25,17,8.509670649829781,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.06720551273974976}",25,17,14.915011070472978,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.06392786120670757}",25,7,30.029032862391684,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.06081006262521795}",20,8,-28.198400188110625,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.057844320874838456}",20,9,9.675048962124688,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.05502322005640721}",20,10,18.560824326162074,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.05233970594843238}",20,10,18.944005728057483,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.049787068367863944}",20,11,18.3349435286915,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.04735892439114091}",25,10,28.882505856185816,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.0450492023935578}",25,16,18.61812679941122,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.042852126867040166}",20,0,34.60411403655149,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.04076220397836621}",30,17,25.544427567655667,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.03877420783172201}",35,23,21.512357483331563,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.036883167401239994}",30,13,36.40206222838144,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.035084354100845025}",35,16,35.25830063896947,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.033373269960326066}",30,20,16.193591537761158,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.03174563637806794}",30,16,28.070239755814196,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.0301973834223185}",25,16,15.229697133198806,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
